growth_rate_per_hr,avg_cell_length_um,avg_cell_width_um,estim_avg_cell_volume_um3,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
0.42,2.37,0.91,1.36,6,0,0,0.934282844948617,0,0,0.453697613846777,0.0861765351943511,0.460125850958872,0.00917712590846833,0.449533973720134,0.085385682280517,0.085385682280517,0.455903218090881,0,1,0.419991879868303
0.47,2.51,0.98,1.67,5,0,0,1.0696478719989,0,0,0.443728331734052,0.0958777435693521,0.460393924696596,0.00975405270318153,0.439400182200423,0.0949425470055145,0.0949425470055145,0.455903218090881,0,1,0.470003469846611
0.7,2.84,0.92,1.7,4,0,0,1.77900957967316,0,0,0.398329218292122,0.140142127085929,0.461528654621948,0.0121887048068017,0.393474101034436,0.138433976067882,0.138433976067882,0.455903218090881,0,1,0.699994195093545
0.98,2.95,1.07,2.32,3,0,0,2.89440193964198,0,0,0.343699590293286,0.193511328401017,0.462789081305698,0.014879052883852,0.338585665913154,0.190632063112113,0.190632063112113,0.455903218090881,0,1,0.980003008154004
1.29,3.29,1.21,3.33,2,0,0,4.62876232192021,0,0,0.283715100070617,0.252165986638669,0.464118913290714,0.017701703086352,0.278692859608053,0.247702219214714,0.247702219214714,0.455903218090881,0,1,1.29000300794195
1.83,4.94,1.36,6.6,1,0,0,10.4030052797024,0,0,0.179983184510856,0.353558771232518,0.466458044256626,0.0226276002648122,0.175910596957357,0.34555858468695,0.34555858468695,0.455903218090881,0,1,1.82999886890299
0.74,2.72,1.11,2.28,3,1,0,2.89440193964198,0.129911909738817,0,0.258927608286632,0.279348621981226,0.461723769732143,0.0126061338462999,0.255663532200068,0.275827115862751,0.145915206123934,0.455903218090881,0,0.529009650365701,0.739993023495597
0.55,2.74,1.09,2.23,3,1,0,2.89440193964198,0.233291861849351,0,0.192064948199892,0.34712977304589,0.460805278754218,0.0106380306158593,0.190021755400708,0.343436995892552,0.110145134043201,0.455903218090881,0,0.320714236848442,0.549999337405983
0.45,2.88,1.11,2.42,3,1,0,2.89440193964198,0.287971901100345,0,0.156969938115215,0.382738207824011,0.460291854060775,0.00953446369119101,0.155473313939647,0.379089004278281,0.0911171031779365,0.455903218090881,0,0.240358074619989,0.45000226142948
0.3,3,1.08,2.44,3,1,0,2.89440193964198,0.370516089491864,0,0.104448426100297,0.436127071366498,0.459424502533205,0.00766455516174799,0.103647875376893,0.432784351370478,0.0622682618786139,0.455903218090881,0,0.143878265656861,0.29999861153065
0.88,3.15,1.1,2.67,3,0,1,2.89440193964198,0,0.0548305076665788,0.308483617708684,0.174111559053136,0.462574315571601,0.0144216772443944,0.304034766538906,0.171600578343953,0.171600578343953,0.455903218090881,0.0540397597818651,1,0.879998817988807
0.73,3.15,1.13,2.79,3,0,1,2.89440193964198,0,0.137116793937583,0.255696596469208,0.144990103238636,0.462196506354573,0.0136160446415483,0.252215020196991,0.143015911520356,0.143015911520356,0.455903218090881,0.135249805550223,1,0.730011643665013
0.61,3.47,1.15,3.22,3,0,1,2.89440193964198,0,0.203035177522467,0.213485926367171,0.121638212336222,0.46184068377414,0.012856090621419,0.210741331951397,0.1200744204554,0.1200744204554,0.455903218090881,0.200424938880902,1,0.609970119962859
0.4,4.89,1.23,5.39,3,0,1,2.89440193964198,0,0.31854004674539,0.139750846464796,0.0807100444645453,0.460999062325269,0.0110539145322427,0.138206052552166,0.0798178825311407,0.0798178825311407,0.455903218090881,0.31501893229357,1,0.40002386657725
0.24,5.92,1.27,7.13,3,0,1,2.89440193964198,0,0.406960361085836,0.0836632565960736,0.0493252576516452,0.460051124666445,0.00901618614359812,0.0829089331012238,0.048880531947077,0.048880531947077,0.455903218090881,0.40329113071722,1,0.239971776781829
1.12,3.11,1.21,3.11,2,0,1,4.62876232192021,0,0.0706459011667725,0.246132854844024,0.219464968848771,0.463756275140432,0.0169335866068297,0.241964942829737,0.215748639791605,0.215748639791605,0.455903218090881,0.0694496126809474,1,1.11999821059586
0.95,3.13,1.22,3.23,2,0,1,4.62876232192021,0,0.141345018817873,0.208587731294853,0.186728647639541,0.463338602247734,0.016047409218189,0.20524043861287,0.18373213661811,0.18373213661811,0.455903218090881,0.13907679745995,1,0.950009209185633
0.84,3.27,1.24,3.52,2,0,1,4.62876232192021,0,0.187136929945254,0.184309309991026,0.165532571724429,0.463021188339291,0.0153728823381498,0.181475944654708,0.162987858976178,0.162987858976178,0.455903218090881,0.184260095940083,1,0.84000901495259
0.65,3.51,1.32,4.24,2,0,1,4.62876232192021,0,0.266358042836728,0.142412720070959,0.128857897037135,0.462371340055178,0.0139890200883234,0.140420505669054,0.127055301326943,0.127055301326943,0.455903218090881,0.262631954824799,1,0.649973145865899
0.52,4.66,1.34,6.05,2,0,1,4.62876232192021,0,0.320672440555359,0.113794977868032,0.103699466847192,0.461833114729418,0.0128399121877851,0.112333860344795,0.102367974798954,0.102367974798954,0.455903218090881,0.316555034577585,1,0.519966740239835
0.42,5.76,1.36,7.61,2,0,1,4.62876232192021,0,0.362541042706442,0.0918159979480857,0.0843062739657277,0.461336685379744,0.0117776614369842,0.0907346202097544,0.0833133432139457,0.0833133432139457,0.455903218090881,0.358271157048435,1,0.419988991320651
